replicate,k,purity
42,6,0.11215
43,6,0.1
44,6,0.10763
45,6,0.11089
46,6,0.12345000000000002
47,6,0.20699
48,6,0.10690999999999999
49,6,0.10001
0,7,0.14633999999999997
1,7,0.14264
2,7,0.13252000000000003
3,7,0.14526
4,7,0.13224
5,7,0.14041
6,7,0.14916999999999997
7,7,0.14077
8,7,0.13579000000000002
9,7,0.14557
10,7,0.15462000000000004
11,7,0.1496
12,7,0.13057000000000002
13,7,0.15372
14,7,0.14482
15,7,0.15348
16,7,0.15043
17,7,0.14071
18,7,0.14132000000000003
19,7,0.14020000000000005
20,7,0.14267999999999997
21,7,0.13
22,7,0.15234999999999999
23,7,0.15294
24,7,0.15275
25,7,0.14455999999999997
26,7,0.14640000000000003
27,7,0.1278
28,7,0.12659
29,7,0.1499
30,7,0.14715
31,7,0.15509
32,7,0.15367
33,7,0.16247
34,7,0.14056
35,7,0.14055
36,7,0.13566
37,7,0.14414
38,7,0.13277999999999998
39,7,0.1428
40,7,0.15395
41,7,0.15109
42,7,0.15905
43,7,0.13248
44,7,0.13975999999999997
45,7,0.1366
46,7,0.14011999999999997
47,7,0.14146
48,7,0.14859
49,7,0.14384999999999998
0,8,0.1543
1,8,0.15253
2,8,0.16834
3,8,0.15177999999999997
4,8,0.15398
5,8,0.15128
6,8,0.14859
7,8,0.16576
8,8,0.1541
9,8,0.15599000000000002
10,8,0.15255000000000002
11,8,0.17798
12,8,0.17116000000000003
13,8,0.16716999999999999
14,8,0.1737
15,8,0.26727
16,8,0.15327
17,8,0.25248
18,8,0.14686000000000002
19,8,0.16254000000000002
20,8,0.17749
21,8,0.17793
22,8,0.15001
23,8,0.17346
24,8,0.176
25,8,0.14451
26,8,0.15197
27,8,0.15521000000000001
28,8,0.17001
29,8,0.15773999999999996
30,8,0.14944
31,8,0.15687
32,8,0.15303
33,8,0.16646
34,8,0.18361
35,8,0.17372
36,8,0.16338000000000003
37,8,0.14608
38,8,0.1532
39,8,0.16833
40,8,0.15167999999999998
41,8,0.15286
42,8,0.16138000000000002
43,8,0.14873
44,8,0.15346999999999997
45,8,0.17259
46,8,0.14954
47,8,0.15194000000000002
48,8,0.16408
49,8,0.14986
0,9,0.14892999999999998
1,9,0.18673
2,9,0.14528999999999997
3,9,0.1499
4,9,0.16462000000000002
5,9,0.16058999999999998
6,9,0.17123
7,9,0.15669999999999998
8,9,0.18822
9,9,0.17465000000000003
10,9,0.14692
11,9,0.17849
12,9,0.14947
13,9,0.17881
14,9,0.15759
15,9,0.15211
16,9,0.15084000000000003
17,9,0.1674
18,9,0.14954
19,9,0.24714999999999998
20,9,0.15381999999999998
21,9,0.14636000000000002
22,9,0.14361
23,9,0.14764000000000002
24,9,0.16647
25,9,0.14437999999999998
26,9,0.1782
27,9,0.15080000000000002
28,9,0.1529
29,9,0.17393
30,9,0.14182
31,9,0.14684
32,9,0.14886
33,9,0.15089
34,9,0.15574000000000002
35,9,0.15539999999999998
36,9,0.14571
37,9,0.24289
38,9,0.14567000000000002
39,9,0.14823999999999998
40,9,0.17383999999999997
41,9,0.17346
42,9,0.14392999999999997
43,9,0.14515
44,9,0.1436
45,9,0.17434
46,9,0.14703
47,9,0.1455
48,9,0.13992
49,9,0.14467
0,10,0.1505
1,10,0.14404
2,10,0.14421
3,10,0.13984000000000002
4,10,0.14869
5,10,0.14781
6,10,0.15639999999999998
7,10,0.18082000000000004
8,10,0.14738999999999997
9,10,0.17336000000000001
10,10,0.15023999999999998
11,10,0.14124
12,10,0.1417
13,10,0.14398
14,10,0.17165
15,10,0.1424
16,10,0.16040000000000001
17,10,0.14192
18,10,0.24875999999999995
19,10,0.20013999999999998
20,10,0.19479
