replicate,k,purity
26,5,0.10849000000000002
27,5,0.13802
28,5,0.12528
29,5,0.16943999999999998
30,5,0.1139
31,5,0.23611
32,5,0.1253
33,5,0.12228000000000001
34,5,0.12667
35,5,0.11000000000000001
36,5,0.17274000000000003
37,5,0.13960999999999998
38,5,0.11961
39,5,0.21667
40,5,0.16876
41,5,0.10540000000000002
42,5,0.12293999999999998
43,5,0.12876
44,5,0.12771000000000002
45,5,0.14784
46,5,0.10464
47,5,0.10541000000000003
48,5,0.10584000000000002
49,5,0.12136
0,6,0.14282
1,6,0.13069999999999998
2,6,0.18833
3,6,0.10396000000000001
4,6,0.11120000000000001
5,6,0.21266000000000002
6,6,0.10681
7,6,0.12461
8,6,0.12042
9,6,0.10501
10,6,0.19166999999999998
11,6,0.10667
12,6,0.12916
13,6,0.10978000000000002
14,6,0.10629
15,6,0.1825
16,6,0.13036
17,6,0.16702999999999998
18,6,0.13518
19,6,0.10928
20,6,0.11276
21,6,0.10628
22,6,0.13526
23,6,0.19168000000000002
24,6,0.10833
25,6,0.10955000000000001
26,6,0.10628
27,6,0.10693
28,6,0.11326
29,6,0.10766
30,6,0.19596000000000002
31,6,0.11916
32,6,0.11257000000000002
33,6,0.10726
34,6,0.19167000000000003
35,6,0.10642
36,6,0.12128999999999998
37,6,0.10872000000000001
38,6,0.10578000000000001
39,6,0.11308
40,6,0.17927
41,6,0.10622000000000001
42,6,0.10499999999999998
43,6,0.10886999999999998
44,6,0.10786
45,6,0.10583000000000001
46,6,0.10675000000000001
47,6,0.10596000000000001
48,6,0.12039
49,6,0.10500000000000001
0,7,0.1843
1,7,0.11724000000000001
2,7,0.11176
3,7,0.13411
4,7,0.12212
5,7,0.20307999999999998
6,7,0.19923000000000002
7,7,0.28386999999999996
8,7,0.11130999999999999
9,7,0.19171
10,7,0.20022
11,7,0.27818
12,7,0.20800000000000002
13,7,0.19876
14,7,0.11796
15,7,0.11435999999999999
16,7,0.195
17,7,0.14348999999999998
18,7,0.25168
19,7,0.11124
20,7,0.12803000000000003
21,7,0.11286
22,7,0.17636000000000002
23,7,0.11055
24,7,0.12321
25,7,0.12533
26,7,0.11399000000000001
27,7,0.1222
28,7,0.11949000000000001
29,7,0.21899000000000002
30,7,0.26878
31,7,0.12215000000000001
32,7,0.12562
33,7,0.11033
34,7,0.17696999999999996
35,7,0.12287999999999999
36,7,0.11640999999999999
37,7,0.12239
38,7,0.123
39,7,0.11439999999999999
40,7,0.21592000000000003
41,7,0.29784
42,7,0.20789
43,7,0.12746999999999997
44,7,0.13516
45,7,0.11717
46,7,0.19285000000000002
47,7,0.14438
48,7,0.17702999999999997
49,7,0.30135
0,8,0.19820999999999997
1,8,0.13601999999999997
2,8,0.1238
3,8,0.17687
4,8,0.21363000000000004
5,8,0.19558
6,8,0.12505000000000002
7,8,0.21528
8,8,0.20785
9,8,0.29513999999999996
10,8,0.12869
11,8,0.26592000000000005
12,8,0.1417
13,8,0.17663
14,8,0.13504
15,8,0.12132000000000001
16,8,0.13106
17,8,0.13774000000000003
18,8,0.24681999999999998
19,8,0.12357
20,8,0.2004
21,8,0.12231
22,8,0.20234999999999997
23,8,0.13986
24,8,0.16648999999999997
25,8,0.19317999999999996
26,8,0.27018
27,8,0.13477
28,8,0.12730999999999998
29,8,0.20128
30,8,0.1276
31,8,0.21132
32,8,0.19345
33,8,0.1206
34,8,0.13047000000000003
35,8,0.13167
36,8,0.12026999999999999
37,8,0.12528999999999998
38,8,0.21259
